ID_taxis,yellow,payment_type,total_amount,PU_ID_borough,DO_ID_borough,pickup_year,pickup_month,pickup_day,pickup_hour
518,0,2.0,15.3,3,2,2020,12,23,7
519,0,1.0,53.92,1,2,2020,12,23,8
520,0,2.0,7.3,3,3,2020,12,23,9
521,0,1.0,11.8,5,5,2020,12,23,11
522,0,1.0,7.8,3,3,2020,12,23,13
523,0,1.0,50.3,1,5,2020,12,23,15
524,0,2.0,11.3,3,3,2020,12,23,17
525,0,1.0,13.56,3,3,2020,12,23,18
526,0,1.0,9.96,1,1,2020,12,23,19
527,0,1.0,17.16,3,3,2020,12,23,19
528,0,2.0,13.8,1,1,2020,12,23,19
529,0,1.0,31.25,3,3,2020,12,24,9
530,0,2.0,34.3,2,6,2020,12,24,11
531,0,2.0,19.55,3,3,2020,12,24,11
532,0,1.0,26.76,5,5,2020,12,24,11
533,0,1.0,5.8,3,3,2020,12,24,11
534,0,2.0,7.3,5,5,2020,12,24,12
535,0,1.0,39.8,5,3,2020,12,24,12
536,0,2.0,14.8,3,3,2020,12,24,13
537,0,1.0,21.06,3,3,2020,12,24,14
538,0,2.0,13.55,3,3,2020,12,24,18
539,0,1.0,13.8,3,3,2020,12,24,18
540,0,2.0,7.8,3,3,2020,12,24,19
541,0,1.0,10.8,5,5,2020,12,24,19
542,0,1.0,77.67,5,6,2020,12,25,13
543,0,2.0,7.3,5,5,2020,12,25,16
544,0,1.0,12.13,3,3,2020,12,26,9
545,0,2.0,4.8,3,3,2020,12,26,16
546,0,2.0,9.3,3,3,2020,12,26,20
