ID_taxis,Taxis,payment_type,total_amount,PU_ID_borough,DO_ID_borough,pickup_hour,date
470,Green,5.0,37.42,5,3,6,9/8/2020
471,Green,5.0,30.32,2,2,8,9/8/2020
472,Green,5.0,18.48,5,5,10,9/8/2020
473,Green,5.0,23.85,2,2,10,10/8/2020
474,Green,5.0,32.5,3,2,11,10/8/2020
475,Green,5.0,68.09,2,1,13,10/8/2020
476,Green,5.0,50.0,5,3,13,10/8/2020
477,Green,5.0,21.3,3,2,13,10/8/2020
478,Green,5.0,24.42,5,5,13,10/8/2020
479,Green,5.0,39.11,1,3,14,10/8/2020
480,Green,5.0,61.93,3,5,18,10/8/2020
481,Green,5.0,18.5,1,1,18,10/8/2020
482,Green,2.0,6.3,3,3,11,19/12/2020
483,Green,1.0,17.0,3,3,11,19/12/2020
484,Green,2.0,12.8,5,5,15,19/12/2020
485,Green,1.0,23.8,1,5,19,19/12/2020
486,Green,2.0,7.3,3,3,19,19/12/2020
487,Green,1.0,54.55,1,5,8,20/12/2020
488,Green,1.0,41.3,1,6,9,20/12/2020
489,Green,1.0,96.67,2,5,12,20/12/2020
490,Green,2.0,9.8,3,3,13,20/12/2020
491,Green,1.0,10.0,5,5,13,20/12/2020
492,Green,1.0,15.06,3,3,13,20/12/2020
493,Green,1.0,29.15,5,5,14,20/12/2020
494,Green,2.0,6.3,3,3,15,20/12/2020
495,Green,1.0,8.15,1,1,18,20/12/2020
496,Green,1.0,12.0,5,5,8,21/12/2020
497,Green,1.0,14.3,5,5,9,21/12/2020
498,Green,2.0,6.3,1,1,9,21/12/2020
499,Green,2.0,7.8,3,3,12,21/12/2020
500,Green,1.0,11.62,3,3,16,21/12/2020
501,Green,2.0,16.8,5,5,17,21/12/2020
502,Green,1.0,62.05,4,4,17,21/12/2020
503,Green,1.0,25.56,5,5,19,21/12/2020
504,Green,1.0,17.76,3,3,19,21/12/2020
505,Green,2.0,6.8,3,3,20,21/12/2020
506,Green,1.0,24.55,3,3,7,22/12/2020
507,Green,2.0,7.8,5,5,12,22/12/2020
508,Green,2.0,10.3,1,1,13,22/12/2020
509,Green,1.0,14.3,1,1,13,22/12/2020
510,Green,1.0,18.36,5,5,13,22/12/2020
511,Green,2.0,10.3,3,3,14,22/12/2020
512,Green,1.0,26.0,3,3,16,22/12/2020
513,Green,1.0,16.8,3,3,17,22/12/2020
514,Green,1.0,17.29,1,1,17,22/12/2020
515,Green,1.0,16.25,3,3,18,22/12/2020
516,Green,2.0,23.3,2,6,18,22/12/2020
517,Green,1.0,13.8,1,1,18,22/12/2020
518,Green,2.0,15.3,3,2,7,23/12/2020
519,Green,1.0,53.92,1,2,8,23/12/2020
520,Green,2.0,7.3,3,3,9,23/12/2020
521,Green,1.0,11.8,5,5,11,23/12/2020
522,Green,1.0,7.8,3,3,13,23/12/2020
523,Green,1.0,50.3,1,5,15,23/12/2020
524,Green,2.0,11.3,3,3,17,23/12/2020
525,Green,1.0,13.56,3,3,18,23/12/2020
526,Green,1.0,9.96,1,1,19,23/12/2020
527,Green,1.0,17.16,3,3,19,23/12/2020
528,Green,2.0,13.8,1,1,19,23/12/2020
